"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1806147759294304564","Thu Jun 27 02:51:37 +0000 2024","0","@akualcade Ayookk di byon combat 4","1806158412818104385","","akualcade","in","Tegal, Jawa Tengah","0","1","0","https://x.com/iamvsmymind/status/1806158412818104385","323937760","iamvsmymind"
"1805200617251779011","Wed Jun 26 07:17:28 +0000 2024","0","@kompascom Byon combat 4 bisa jumpakan saya sama orang ini biar bisa mewakili perasaan ratusan juta warga Indonesia wkwk","1805862932062126134","","kompascom","in","jakarta","0","0","0","https://x.com/RyanAl21/status/1805862932062126134","1272507363086352385","RyanAl21"
"1805623849205252400","Tue Jun 25 15:27:27 +0000 2024","0","Makin banyak video tonjok2an di timeline. Pertanda akan naik di byon combat vol 4 kah?","1805623849205252400","","","in","Isekai","0","0","0","https://x.com/prejeo_/status/1805623849205252400","2456708834","prejeo_"
"1805623572511211777","Tue Jun 25 15:26:21 +0000 2024","0","info byon combat 4 gua vs ...","1805623572511211777","","","in","","0","2","0","https://x.com/zxzrhan/status/1805623572511211777","1374763636393091078","zxzrhan"
"1805210032616951974","Tue Jun 25 11:11:15 +0000 2024","0","@dinulfadli_ @txtdrjkt byon combat season 4 gasss wwkw","1805559374104133770","","dinulfadli_","in","Jakarta, Indonesia","0","0","0","https://x.com/Gacormso303/status/1805559374104133770","1800442416182468608","Gacormso303"
"1805507579747221759","Tue Jun 25 10:37:51 +0000 2024","0","@R_AdelJKT48 @S_FloraJKT48 Udah tau kalo ini mah ajakin Byon Combat 4 aja flo","1805550969134236029","","AdelRevaaa","in","","0","1","0","https://x.com/adityarahmats/status/1805550969134236029","177453749","adityarahmats"
"1805297028223975809","Tue Jun 25 01:24:44 +0000 2024","0","@naailanf bisa ikut byon combat 4 ini","1805411774784848015","","naailanf","in","","0","0","0","https://x.com/ellnaass/status/1805411774784848015","1196348871489675264","ellnaass"
"1805138601971253286","Tue Jun 25 01:02:49 +0000 2024","0","@alychrtz yokk byon combat 4 bs yokk wkwk","1805406258658427206","","th3g1rlnextdoor","in","Lampung, Indonesia","0","0","0","https://x.com/sanBoyyyQ/status/1805406258658427206","1596506817034874880","sanBoyyyQ"
"1805179680229847206","Mon Jun 24 18:00:55 +0000 2024","0","@innekeayu5 bagusnya ikut byon combat 4 kak","1805300082327404587","","innekeayuu","in","","0","1","0","https://x.com/fo0lishxc/status/1805300082327404587","1449169879915917315","fo0lishxc"
"1756350313517449271","Sat Feb 10 16:12:00 +0000 2024","0","kalian pilih deh mau di hss atau di byon combat? @yourcontrolla @pleuvsoir","1756350313517449271","","","in","","0","2","0","https://x.com/love4rson/status/1756350313517449271","1607802912922796032","love4rson"
"1749077021798584732","Sun Jan 21 14:30:32 +0000 2024","2","Di stop wae iki debat e dilanjut ndek byon combat vol 4","1749077021798584732","","","in","","0","0","1","https://x.com/bosbesarallaam/status/1749077021798584732","1198986522327834624","bosbesarallaam"
"1745025508277092859","Wed Jan 10 10:13:40 +0000 2024","1","@A_ZeeJKT48 Lah ayooo mau byon combat berapa ?","1745026108851114157","","_zeeasadel","in","","0","0","0","https://x.com/ros3m4ryyy/status/1745026108851114157","1707610755695259648","ros3m4ryyy"
"1743995842795843927","Sun Jan 07 13:59:45 +0000 2024","1","Kalau kata gua harus ada byon combat vol 4 isi nya pak prabowo vs pak anis wkwk","1743995842795843927","","","in","165’23","0","1","0","https://x.com/papiculo2papi/status/1743995842795843927","1193211529413513217","papiculo2papi"
"1727991142296473846","Fri Nov 24 10:02:47 +0000 2023","0","BYON COMBAT V.3 bakalan ada gue vs @nikoaseli tungguan guys ","1727991142296473846","","","in","Kota Surabaya, Jawa Timur","0","1","0","https://x.com/raffirizpram/status/1727991142296473846","1661293392670920705","raffirizpram"
"1722612356671520970","Thu Nov 09 13:49:25 +0000 2023","3","next byon combat fajar sadboy vs liu kang","1722612356671520970","","","in","","0","2","0","https://x.com/114brokenradio/status/1722612356671520970","1038830609848659973","114brokenradio"
"1722314883088420929","Wed Nov 08 18:07:21 +0000 2023","0","byon combat s2 kentang bgt","1722314883088420929","","","in","","0","0","0","https://x.com/l0wkeyp4thetic/status/1722314883088420929","1072094191222571008","l0wkeyp4thetic"
